start_proc_frame,end_proc_frame,start_orig_frame,end_orig_frame,crowd_count,occupancy,mean_speed,median_speed,speed_std,dir_entropy,mean_pairwise_distance,risk_raw,risk_score,risk_ema,act_p_Normal,act_p_Light_Panic,act_p_Fight,act_p_Violent_Group,act_p_Stampede,act_entropy,act_top_prob,act_top2_gap,act_abnormal_prob,vel_hist_0,vel_hist_1,vel_hist_2,vel_hist_3,vel_hist_4,vel_hist_5,vel_hist_6,vel_hist_7,density_0,density_1,density_2,density_3,density_4,density_5,density_6,density_7,density_8,density_9,density_10,density_11,density_12,density_13,density_14,density_15
0,31,,,34,0.38972375,3.940425199759913,0.0,7.344019392967142,0.6454603908819405,480.4359130859375,4.039358555553092,0.6757763950504327,0.6757763950504327,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8076358296622613,0.14243759177679882,0.032305433186490456,0.007342143906020558,0.007342143906020558,0.0014684287812041115,0.0,0.0014684287812041115,0.0,0.0,0.0,0.0,0.17202797178737347,0.10209790195510783,0.0,0.019580419553034377,0.04755244748594063,0.17902097877060003,0.036363636312778135,0.012587412569807815,0.14545454525111254,0.1762237759773094,0.1090909089383344,0.0
16,47,,,45,0.47369173,2.7468396833608892,0.0,6.620435787476452,0.6553645605287196,463.5526123046875,3.485019977783055,0.6533143614452598,0.6690377849688808,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.87117903930131,0.09497816593886463,0.02074235807860262,0.0032751091703056767,0.007641921397379912,0.0,0.001091703056768559,0.001091703056768559,0.0,0.0,0.0,0.0,0.18210197691768784,0.07388137349231907,0.0,0.04578563991073294,0.07492195621756301,0.17481789784098034,0.04162330900975722,0.048907388086464734,0.10301768979914913,0.13111342338073526,0.1123829343263445,0.011446409977683236
32,63,,,53,0.4791988,2.7304975044432607,0.0,8.005594306510236,0.6367470130858324,511.5845947265625,3.6750863556053393,0.6610994361802986,0.6666562803323061,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9,0.062376237623762376,0.01881188118811881,0.005940594059405941,0.006930693069306931,0.0029702970297029703,0.0009900990099009901,0.0019801980198019802,0.0,0.002822201314372341,0.0,0.0,0.1401693319471596,0.07525870171659575,0.0,0.045155221029957456,0.11288805257489364,0.1222953902894681,0.06961429908785108,0.06961429908785108,0.08184383811679789,0.11853245520363832,0.11759172143218087,0.04421448725850001
48,79,,,58,0.4477857,2.792271255053874,0.0,8.078863452699665,0.6715946064178799,554.2486572265625,3.731694783777227,0.663401588988569,0.665679872929185,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9061855670103093,0.05567010309278351,0.01958762886597938,0.006185567010309278,0.005154639175257732,0.004123711340206186,0.0010309278350515464,0.002061855670103093,0.0,0.01848249025439446,0.0,0.0,0.0885214006920998,0.047665369603438354,0.007782101159745037,0.03015564199401202,0.09630350185184483,0.09338521391694045,0.0622568092779603,0.05739299605311965,0.1342412450056019,0.11575875475120742,0.15369649790496448,0.09435797656190857
64,95,,,63,0.5945427,2.8863726091050794,0.0,7.918983507021399,0.7590805631479158,527.3219604492188,3.7978449075839906,0.6660819830278834,0.6658005059587945,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8882466281310212,0.06840077071290944,0.02023121387283237,0.00674373795761079,0.00674373795761079,0.005780346820809248,0.0019267822736030828,0.0019267822736030828,0.0,0.018165304252347587,0.0,0.0,0.04450499541825159,0.02815622159113876,0.019073569464964968,0.039055404142547316,0.10081743860052911,0.0617620344579818,0.052679382331808,0.04995458669395587,0.18346957294871064,0.09355131689959008,0.18710263379918016,0.12170753849072884
80,111,,,59,0.61243457,3.296408586340373,0.0,8.636859484222121,0.7235531006267308,574.87646484375,4.048224217545506,0.6761294749531173,0.6688991966570913,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9031496062992126,0.06220472440944882,0.01653543307086614,0.010236220472440945,0.004724409448818898,0.0007874015748031496,0.0015748031496062992,0.0007874015748031496,0.0,0.0030097817885554688,0.0,0.0,0.01580135438991621,0.041384499592637694,0.009781790812805273,0.04514672682833203,0.12866817146074627,0.04966139951116523,0.07524454471388671,0.036117381462665625,0.19262603446755,0.07825432650244218,0.18133935276046698,0.14296463495638476
96,127,,,67,0.62600744,3.586416797865728,0.0,8.875245623519385,0.6722627166772422,573.8065795898438,4.169211192680544,0.6809276974860929,0.6725077469057917,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9031037093111279,0.0643451930355791,0.0174110522331567,0.006813020439061317,0.003028009084027252,0.002271006813020439,0.001514004542013626,0.001514004542013626,0.0,0.0,0.0,0.0,0.006484149851236203,0.04106628239116262,0.015129682986217807,0.030979827067017414,0.10951008637643364,0.06484149851236203,0.09005763682272504,0.028818443783272012,0.1974063399154133,0.09149855901188864,0.16570605175381406,0.15850144080799608
112,143,,,67,0.56890607,3.6090299844962237,0.0,8.45819787194492,0.6909921309479565,582.694091796875,4.126936953159001,0.6792554311320267,0.6745320521736622,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8817813765182186,0.08097165991902834,0.021052631578947368,0.008097165991902834,0.0032388663967611335,0.0016194331983805667,0.0016194331983805667,0.0016194331983805667,0.0,0.0,0.0,0.0,0.026881720409461043,0.053763440818922086,0.016129032245676626,0.009984639009228387,0.08218125953749518,0.06682027644637459,0.08832565277394343,0.03917050688235752,0.2035330259573479,0.11827956980162858,0.16666666653865847,0.12826420881085698
128,159,,,59,0.4464811,3.5553151892937427,0.0,7.414713585006729,0.6948271027206269,561.8609619140625,3.9512293751008825,0.6722557656608537,0.6738491662198196,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8869918699186992,0.09024390243902439,0.013821138211382113,0.0065040650406504065,0.0016260162601626016,0.0,0.0,0.0008130081300813008,0.0,0.0,0.0,0.0,0.07137315743105263,0.05896043439956521,0.010085337463083523,0.0031031807578718535,0.09697439868349542,0.06439100072584096,0.05896043439956521,0.026377036441910754,0.2218774241878375,0.10861132652551486,0.1877424358512471,0.09154383235721968
144,175,,,60,0.4338776,3.4787382198874517,0.0,6.983937121873318,0.6607168654870371,560.9403076171875,3.8355159755282004,0.6676036420249433,0.6719755089613567,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8936731107205624,0.0852372583479789,0.016695957820738138,0.0026362038664323375,0.0008787346221441124,0.0,0.0,0.0008787346221441124,0.0,0.0,0.0,0.0,0.08430717856067847,0.02587646074634686,0.030884807987575282,0.01669449080409475,0.13689482459357694,0.07095158591740268,0.03839732884941792,0.010016694482456848,0.232053422176917,0.08430717856067847,0.17946577614401854,0.09015025034211163
