start_proc_frame,end_proc_frame,start_orig_frame,end_orig_frame,crowd_count,occupancy,mean_speed,median_speed,speed_std,dir_entropy,mean_pairwise_distance,risk_raw,risk_score,risk_ema,act_p_Normal,act_p_Light_Panic,act_p_Fight,act_p_Violent_Group,act_p_Stampede,act_entropy,act_top_prob,act_top2_gap,act_abnormal_prob,vel_hist_0,vel_hist_1,vel_hist_2,vel_hist_3,vel_hist_4,vel_hist_5,vel_hist_6,vel_hist_7,density_0,density_1,density_2,density_3,density_4,density_5,density_6,density_7,density_8,density_9,density_10,density_11,density_12,density_13,density_14,density_15
0,31,,,16,0.20777164,1.0169130041877228,0.0,3.475422185513941,0.72429291329067,367.8660888671875,1.8820833859897868,0.5847240965600775,0.5847240965600775,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9082278481012658,0.03481012658227848,0.022151898734177215,0.022151898734177215,0.00949367088607595,0.0,0.0,0.0031645569620253164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0783132527761649,0.0,0.0,0.25602409561438527,0.36445783022753664,0.1265060237153433,0.1746987946545217
16,47,,,21,0.16201189,1.3268212684654235,0.0,4.658773197141229,0.6341833620162276,385.3905944824219,2.0150842298512943,0.5905837163941579,0.5864819825103016,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9131652661064426,0.05322128851540616,0.0196078431372549,0.0056022408963585435,0.0028011204481792717,0.0028011204481792717,0.0,0.0028011204481792717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07671957651661487,0.0,0.0,0.21693121635732482,0.41269841160661797,0.16666666622574955,0.12698412664819014
32,63,,,22,0.15294757,2.4070869878050196,0.0,7.623684946471221,0.618638603172278,376.2300109863281,2.8599395419508324,0.6271451959252492,0.5986809465347859,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9101449275362319,0.04057971014492753,0.028985507246376812,0.008695652173913044,0.0,0.0,0.005797101449275362,0.005797101449275362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05449591265804928,0.03542234322773204,0.0,0.17711171613866017,0.4032697536695647,0.20435967246768483,0.12534059911351336
48,79,,,25,0.2768993,2.058618084203854,0.0,6.856974226266273,0.6147299030692233,473.6814880371094,2.913079647680889,0.6294016734336179,0.6078971646044354,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9202733485193622,0.0387243735763098,0.02733485193621868,0.002277904328018223,0.002277904328018223,0.002277904328018223,0.002277904328018223,0.004555808656036446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03879310336467003,0.06249999986530173,0.034482758546373365,0.19181034441420183,0.2866379304167286,0.1896551720050535,0.1961206892324985
64,95,,,28,0.33814883,1.8506092627020305,0.0,7.033984750352419,0.6928133995610694,506.6545104980469,3.0564016256262967,0.6354591950579936,0.6161657737405029,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9405204460966543,0.02973977695167286,0.013011152416356878,0.0037174721189591076,0.007434944237918215,0.0018587360594795538,0.0018587360594795538,0.0018587360594795538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07243816241618699,0.037102473432681145,0.05653710237360936,0.24911660733371624,0.2102473494518598,0.14840989373072458,0.22614840949443743
80,111,,,28,0.2490353,2.1462050332016736,0.0,7.710416632535375,0.751537552133579,503.25811767578125,3.088555306235527,0.6368123788833188,0.6223597552833475,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9281663516068053,0.03780718336483932,0.015122873345935728,0.003780718336483932,0.007561436672967864,0.003780718336483932,0.0,0.003780718336483932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11849192079265364,0.008976660666110125,0.037701974797662526,0.27109515211652574,0.20107719892086678,0.16876122052287035,0.1938958703879787
96,127,,,28,0.21843736,1.9911710632101578,0.0,6.488842175433902,0.7042480437681591,417.2781677246094,2.738436993587028,0.6219651406194877,0.6222413708841895,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9212765957446809,0.05106382978723404,0.01276595744680851,0.00425531914893617,0.006382978723404255,0.002127659574468085,0.0,0.002127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11244979897098434,0.00602409637344559,0.010040160622409316,0.2289156621909324,0.2891566259253883,0.2128514051950775,0.14056224871373044
112,143,,,26,0.2599285,1.64301545755238,0.0,5.80209672773703,0.7116140357908749,443.1777038574219,2.6043102705703824,0.6162144157713915,0.6204332843503501,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9042769857433809,0.038696537678207736,0.032586558044806514,0.008146639511201629,0.004073319755600814,0.002036659877800407,0.004073319755600814,0.006109979633401222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038684719460957986,0.038684719460957986,0.0,0.18375241743955045,0.3868471946095799,0.17988394549345466,0.17214700160126306
128,159,,,24,0.21175799,1.4222677982178833,0.0,6.3193882725284265,0.6760577553600859,417.1603088378906,2.4518450200261017,0.6096378046162768,0.6171946404301281,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.94921875,0.03125,0.0078125,0.0,0.00390625,0.00390625,0.001953125,0.001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09141791027720539,0.0,0.18283582055441078,0.36194029783220094,0.11194029829861885,0.2518656711718924
144,175,,,28,0.21169391,0.9416631498275004,0.0,5.065585706575325,0.639202595685012,451.0955505371094,2.049259414923185,0.592085298181776,0.6096618377556224,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9663677130044843,0.02466367713004484,0.002242152466367713,0.002242152466367713,0.0,0.0,0.002242152466367713,0.002242152466367713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021097046368993575,0.11181434575566594,0.0,0.19620253123164022,0.31012658162420553,0.1033755272080685,0.2763713074338158
