start_proc_frame,end_proc_frame,start_orig_frame,end_orig_frame,crowd_count,occupancy,mean_speed,median_speed,speed_std,dir_entropy,mean_pairwise_distance,risk_raw,risk_score,risk_ema,act_p_Normal,act_p_Light_Panic,act_p_Fight,act_p_Violent_Group,act_p_Stampede,act_entropy,act_top_prob,act_top2_gap,act_abnormal_prob,vel_hist_0,vel_hist_1,vel_hist_2,vel_hist_3,vel_hist_4,vel_hist_5,vel_hist_6,vel_hist_7,density_0,density_1,density_2,density_3,density_4,density_5,density_6,density_7,density_8,density_9,density_10,density_11,density_12,density_13,density_14,density_15
0,31,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,47,,,7,0.12978263199329376,0.0,0.0,0.0,0.0,368.0072021484375,0.3244565725326538,0.5147437501622044,0.5044231250486613,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571224489825,0.1428571224489825,0.285714244897965,0.4285713673469475,0.0,0.0,0.0,0.0
32,63,,,16,0.24334123730659485,1.5108920796911318,0.9977919442711689,1.9437299798667436,0.9841213403340989,341.75,2.094742204897512,0.5940810428468937,0.531320500388131,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.735632183908046,0.14942528735632185,0.06321839080459771,0.017241379310344827,0.028735632183908046,0.0,0.0,0.005747126436781609,0.0,0.0,0.0,0.0,0.0,0.06842105227146815,0.0,0.0,0.1368421045429363,0.1368421045429363,0.28947368268698065,0.3684210506925208,0.0,0.0,0.0,0.0
48,79,,,21,0.4190059006214142,1.8651034387655203,0.0,4.42267811515732,0.9828551443659087,330.5489501953125,2.999156179399351,0.633044730206749,0.5618377693337163,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8869179600886918,0.07095343680709534,0.013303769401330377,0.008869179600886918,0.0066518847006651885,0.004434589800443459,0.0,0.008869179600886918,0.0,0.0,0.0,0.0,0.0,0.06144067783593077,0.0,0.0,0.1546610166214809,0.09745762691216604,0.28177966041995833,0.34745762638250505,0.0,0.0,0.00847457625323183,0.04872881345608302
64,95,,,34,0.7356681227684021,1.8077623962599207,0.0,6.192726804406461,0.9495713587295187,354.84808349609375,3.2217567944026486,0.6423949100938482,0.5860049115617558,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.918918918918919,0.03556187766714083,0.01849217638691323,0.011379800853485065,0.005689900426742532,0.004267425320056899,0.004267425320056899,0.001422475106685633,0.0,0.0,0.0,0.0,0.0,0.05291723194990878,0.0,0.0,0.16417910425484517,0.05834464035502763,0.2347354135213902,0.26051560344570474,0.0,0.03799185883583194,0.07869742187422331,0.11261872440621612
80,111,,,44,0.8410204648971558,1.7310317527469778,0.0,6.997498738398779,0.944714310755083,355.1202697753906,3.3088660983116576,0.6460250238559395,0.6040109452500109,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9334719334719335,0.02494802494802495,0.02286902286902287,0.004158004158004158,0.006237006237006237,0.005197505197505198,0.002079002079002079,0.0010395010395010396,0.0,0.0,0.0,0.0,0.0,0.038767395587706366,0.0,0.0,0.1381709740177227,0.05566600392080914,0.22266401568323657,0.20178926421293314,0.035785288234805875,0.07654075539111257,0.11033797205731811,0.12027832990031975
96,127,,,53,0.9610118269920349,2.2293701699014,0.0,8.2207588846085,0.9242278301130932,362.3983459472656,3.679398598719691,0.661275076715551,0.6211901846896729,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9227906976744186,0.026046511627906978,0.017674418604651163,0.012093023255813953,0.010232558139534883,0.0065116279069767444,0.0018604651162790699,0.0027906976744186047,0.0,0.0,0.0,0.0,0.014184397150545746,0.026595744657273275,0.0,0.0,0.16223404240936698,0.05141843967072833,0.20301418421718598,0.19769503528573132,0.06294326235554674,0.07446808504036516,0.10372340416336577,0.10372340416336577
112,143,,,58,1.1103991270065308,1.990402847318971,0.0,7.750400896304342,0.918277181238453,381.5872802734375,3.509687582116311,0.6543294947753628,0.6311319777153799,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9311531841652324,0.022375215146299483,0.006024096385542169,0.013769363166953529,0.014629948364888123,0.0051635111876075735,0.0034423407917383822,0.0034423407917383822,0.0,0.0,0.0,0.0,0.039344262262832566,0.03278688521902714,0.0,0.0,0.20409836048844396,0.05573770487234614,0.1557377047903789,0.16967213100846545,0.06557377043805428,0.08278688517804353,0.10737704909231388,0.08688524583042193
128,159,,,54,0.7451738119125366,0.67615266591479,0.0,4.374464819126457,0.9318581471968315,357.11407470703125,2.4857456775529836,0.6111036572503405,0.6251234815758681,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9722943722943723,0.011255411255411256,0.0017316017316017316,0.0025974025974025974,0.007792207792207792,0.0025974025974025974,0.0,0.0017316017316017316,0.0,0.0,0.0,0.0,0.03804797350037388,0.04052936307648522,0.0,0.0,0.1695616210342749,0.08354011572908178,0.14474772527316151,0.1282051280990859,0.07692307685945154,0.12572373852297455,0.10008271290315739,0.09263854417482337
144,175,,,44,0.016804195940494537,0.004667447609411976,0.0,0.12471783341301425,-0.0,333.6126708984375,0.06258514252503655,0.502844748509894,0.5884398616560759,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9986013986013986,0.0,0.0,0.0,0.0,0.0,0.0,0.0013986013986013986,0.0,0.0,0.0,0.0,0.018445322768846743,0.03689064553769349,0.0,0.0,0.12516469021717433,0.10408432133849232,0.14888010520569156,0.11594202883275095,0.08168642940489272,0.1791831354687969,0.07509881413030459,0.11462450577783333
160,191,,,24,0.030557263642549515,0.1910908276694218,0.0,2.0595294359621574,0.44211410869774026,318.83447265625,0.7270273786655648,0.5329986632541186,0.5718075021354887,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9857142857142858,0.004761904761904762,0.004761904761904762,0.0,0.0,0.0,0.0,0.004761904761904762,0.0,0.0,0.0,0.0,0.0,0.021367521276207176,0.0,0.0,0.09401709361531156,0.09401709361531156,0.12820512765724304,0.10683760638103587,0.05982905957338009,0.3589743574402805,0.029914529786690045,0.10683760638103587
176,207,,,3,0.029685931280255318,1.1346818238744745,0.0,5.345960962457195,0.4184144184766947,85.265625,1.5810303518167481,0.5713742011416821,0.5716775118373467,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9365079365079365,0.031746031746031744,0.0,0.0,0.0,0.0,0.0,0.031746031746031744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2424242387511479,0.7575757460973372,0.0,0.0
192,223,,,2,0.0,0.0,0.0,0.0,0.0,58.18901443481445,0.0,0.5,0.5501742582861426,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6078431253364094,0.39215685505574793,0.0,0.0
208,239,,,2,0.0,0.0,0.0,0.0,0.0,41.98698043823242,0.0,0.5,0.5351219808002998,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7894736426592819,0.21052630470914185,0.0,0.0
