start_proc_frame,end_proc_frame,start_orig_frame,end_orig_frame,crowd_count,occupancy,mean_speed,median_speed,speed_std,dir_entropy,mean_pairwise_distance,risk_raw,risk_score,risk_ema,act_p_Normal,act_p_Light_Panic,act_p_Fight,act_p_Violent_Group,act_p_Stampede,act_entropy,act_top_prob,act_top2_gap,act_abnormal_prob,vel_hist_0,vel_hist_1,vel_hist_2,vel_hist_3,vel_hist_4,vel_hist_5,vel_hist_6,vel_hist_7,density_0,density_1,density_2,density_3,density_4,density_5,density_6,density_7,density_8,density_9,density_10,density_11,density_12,density_13,density_14,density_15
0,31,,,15,1.1841321,7.61005227544607,0.0,14.64443240518553,0.8551894494868628,425.25408935546875,6.7537994406483755,0.7734619464656316,0.7734619464656316,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8155844155844156,0.12467532467532468,0.033766233766233764,0.005194805194805195,0.007792207792207792,0.005194805194805195,0.005194805194805195,0.0025974025974025974,0.0,0.0,0.0,0.0,0.01749999995625,0.01249999996875,0.0,0.1049999997375,0.209999999475,0.2549999993625,0.15249999961875,0.2449999993875,0.0,0.0,0.0,0.00249999999375
16,47,,,25,1.1539042,5.473063773492996,0.0,11.621882725516482,0.7986989207092959,423.43792724609375,5.411727270650248,0.7278913609648011,0.7597907708153824,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8092369477911646,0.12449799196787148,0.02610441767068273,0.02610441767068273,0.006024096385542169,0.002008032128514056,0.004016064257028112,0.002008032128514056,0.0,0.0,0.0,0.0,0.043977055365244634,0.034416825938017544,0.030592734167126705,0.1108986613558343,0.19694072620087816,0.2619502863060224,0.11663479901217055,0.19502868031543275,0.0,0.0,0.0,0.009560229427227096
32,63,,,32,1.2835958,6.38775624270912,0.0,13.65205184921657,0.8273305090676973,511.6770935058594,6.099308579906752,0.7519361417222298,0.7574343820874365,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8134453781512605,0.0773109243697479,0.0453781512605042,0.03697478991596639,0.01680672268907563,0.0033613445378151263,0.0033613445378151263,0.0033613445378151263,0.0,0.0,0.0,0.0,0.04306220088825805,0.049441786205037024,0.05103668253423177,0.04146730455906331,0.21212121178290078,0.16427432190705848,0.20095693747853757,0.1786283888698112,0.0,0.0,0.0,0.05901116418020548
48,79,,,38,1.3670871,5.47425818926927,0.0,12.01352432594304,0.8326470660578792,485.86871337890625,5.491320164233892,0.7307481820023705,0.7494285220619167,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8300561797752809,0.09691011235955056,0.03932584269662921,0.018258426966292134,0.008426966292134831,0.004213483146067416,0.0,0.0028089887640449437,0.0,0.0,0.0,0.0,0.071999999904,0.04533333327288889,0.03333333328888889,0.0,0.21733333304355557,0.12266666650311112,0.23199999969066668,0.20933333305422222,0.0,0.0,0.0,0.06799999990933334
64,95,,,50,1.5949244,4.228522829993121,0.0,9.686743642794818,0.8946968099210574,465.0030517578125,4.681238764369106,0.7008050379988183,0.7348414768429872,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8507772020725388,0.10155440414507771,0.03212435233160622,0.008290155440414507,0.004145077720207254,0.002072538860103627,0.0,0.0010362694300518134,0.0,0.0,0.0,0.0,0.09950738906452473,0.068965517173433,0.03054187189109175,0.0,0.25615763521560825,0.1497536944337402,0.16847290623795771,0.17931034465092577,0.0,0.0,0.0,0.04729064034749691
80,111,,,51,1.3722804,3.5461871534487215,0.0,8.818078152226388,0.900233836429829,462.435791015625,4.281326886071344,0.6853401499884421,0.7199910787866237,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8538011695906432,0.07435254803675856,0.04594820384294068,0.014202172096908938,0.005847953216374269,0.003341687552213868,0.000835421888053467,0.001670843776106934,0.0,0.0,0.0,0.0,0.06650641020311986,0.07772435891207984,0.043269230734559905,0.0,0.29727564078743934,0.16907051268503964,0.15384615372287966,0.1378205127100797,0.0,0.0,0.0,0.054487179443519884
96,127,,,55,1.3556156,2.901589954930976,0.0,7.7823693643363,0.8864902019418769,495.2366943359375,3.8598855077879617,0.6685861506032943,0.7045696003316249,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9300758213984835,0.051390058972198824,0.012636899747262006,0.003369839932603201,0.0008424599831508003,0.0008424599831508003,0.0,0.0008424599831508003,0.0,0.0,0.0,0.0,0.045088566791394065,0.045088566791394065,0.04991948466190057,0.0,0.2866344603167194,0.2125603863022863,0.18760064397133602,0.12801932356842244,0.0,0.0,0.0,0.045088566791394065
112,143,,,58,1.1616217,4.04657694679322,0.0,10.182292991182749,0.8933637632689205,437.0863342285156,4.681992985356053,0.700833790488452,0.7034488573786729,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8980769230769231,0.07115384615384615,0.019230769230769232,0.007692307692307693,0.0,0.0009615384615384616,0.0,0.0028846153846153848,0.0,0.0,0.0,0.0,0.10655737695213352,0.03369763202759778,0.0573770491280719,0.0009107468115566968,0.1967213112962465,0.26229508172832866,0.17759562825355588,0.1420765026028447,0.0,0.0,0.0,0.02276867028891742
128,159,,,53,1.1351985,4.09456604593577,0.0,11.215229827694541,0.8961555665414347,394.091796875,4.85780423245335,0.7074925852181594,0.7046619757305188,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.893970893970894,0.079002079002079,0.017671517671517672,0.004158004158004158,0.002079002079002079,0.0,0.0010395010395010396,0.002079002079002079,0.0,0.0,0.0,0.0,0.20197044315076804,0.12807881760780412,0.10147783241233711,0.012807881760780413,0.07290640386905774,0.217733989933267,0.10049261073843092,0.1566502461510835,0.0,0.0,0.0,0.007881773391249484
144,175,,,47,0.68869233,2.8579143971637104,0.0,8.91859007149067,0.9323575500961917,448.9970703125,4.040368799646799,0.6758166386904587,0.6960083746185007,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9330306469920545,0.04880817253121453,0.011350737797956867,0.004540295119182747,0.0011350737797956867,0.0,0.0,0.0011350737797956867,0.0,0.0,0.0,0.0,0.19504310323810012,0.24676724111339737,0.15732758603736252,0.04525862064088511,0.019396551703236474,0.11314655160221276,0.07650862060721055,0.14655172398000893,0.0,0.0,0.0,0.0
160,191,,,42,0.50265247,2.904189234854528,0.0,7.258225883441613,0.9645399497888411,361.2297058105469,3.8291335463313576,0.6673460794861305,0.6874096860787896,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8386627906976745,0.08575581395348837,0.0377906976744186,0.0188953488372093,0.007267441860465116,0.007267441860465116,0.0,0.00436046511627907,0.0,0.0,0.0,0.0,0.08493150673297054,0.26712328730531054,0.2794520544117095,0.08904109576843686,0.0,0.0767123286620379,0.06438356155563896,0.13835616419403265,0.0,0.0,0.0,0.0
176,207,,,32,0.3188776,2.6870376403093776,0.0,5.85994104792832,0.9354096740607487,283.75537109375,3.3122460005508683,0.6461655393993785,0.6750364420749663,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8108108108108109,0.08783783783783784,0.057432432432432436,0.018581081081081082,0.015202702702702704,0.005067567567567568,0.0,0.005067567567567568,0.0,0.0,0.0,0.0,0.0,0.20192307659948225,0.46955128129879603,0.09134615369976579,0.0,0.07211538449981508,0.05929487169984796,0.1057692305997288,0.0,0.0,0.0,0.0
192,223,,,41,0.42033696,2.977432174085615,0.0,6.74618926662106,0.9053820663540333,250.0604705810547,3.7461304994398246,0.6639874272479968,0.6717217376268754,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8309859154929577,0.09859154929577464,0.0406885758998435,0.012519561815336464,0.012519561815336464,0.001564945226917058,0.001564945226917058,0.001564945226917058,0.0,0.0,0.0,0.0,0.0,0.25882352903114186,0.37794117591479237,0.09999999985294118,0.0,0.0838235292884948,0.13529411744809688,0.04411764699394464,0.0,0.0,0.0,0.0
208,239,,,44,0.65297794,2.7436945028905266,0.0,6.8351614085944865,0.9463772419656638,265.97198486328125,3.690578357624782,0.6617302288241407,0.668724284986055,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8581730769230769,0.078125,0.030048076923076924,0.013221153846153846,0.013221153846153846,0.003605769230769231,0.002403846153846154,0.001201923076923077,0.0,0.0,0.0,0.0,0.022831050202247658,0.36529680323596253,0.15182648384494693,0.1004566208898897,0.0,0.13584474870337357,0.17123287651685745,0.05251141546516962,0.0,0.0,0.0,0.0
224,255,,,47,0.62838626,2.5587361378591096,0.0,5.925222569427218,0.9339176968317906,295.16619873046875,3.472628458656801,0.652803891974405,0.66394816708256,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8288590604026845,0.08612975391498881,0.042505592841163314,0.021252796420581657,0.012304250559284116,0.005592841163310962,0.0011185682326621924,0.0022371364653243847,0.0,0.0,0.0,0.0,0.056323060514003126,0.4017003183828902,0.1179596173029122,0.07332624859370218,0.0,0.13071200836268648,0.13177470761766769,0.08820403816343886,0.0,0.0,0.0,0.0
240,271,,,46,0.5106116,2.558522139945828,0.0,5.983967873301208,0.9462520610385506,353.5798645019531,3.4887552735966425,0.6534681681026423,0.6608041673885846,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8365853658536585,0.08292682926829269,0.04390243902439024,0.015853658536585366,0.014634146341463415,0.0012195121951219512,0.0024390243902439024,0.0024390243902439024,0.0,0.0,0.0,0.0,0.07043879899487436,0.4018475745937095,0.15935334854578134,0.06812933017537029,0.0,0.10623556569718758,0.09006928396065902,0.09584295600941922,0.0,0.0,0.0,0.008083140868264272
256,287,,,35,0.4506502,2.436082993208443,0.0,5.5267403150173315,0.9726457165727777,320.0419616699219,3.387031674479643,0.6492681743010249,0.6573433694623166,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8569424964936886,0.091164095371669,0.029453015427769985,0.0070126227208976155,0.005610098176718092,0.002805049088359046,0.004207573632538569,0.002805049088359046,0.0,0.0,0.0,0.0,0.04545454539377734,0.4117647053318654,0.11898395706018187,0.07486631006033916,0.0,0.1350267377873974,0.09491978596935857,0.08823529399968544,0.0,0.0,0.0,0.03074866306049644
272,303,,,36,0.38572985,3.301455725382505,0.0,4.917652867916239,0.91347985155375,359.0744323730469,3.570642705285946,0.6568319120356583,0.6571899322343191,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.7240143369175627,0.21863799283154123,0.043010752688172046,0.005376344086021506,0.0035842293906810036,0.0017921146953405018,0.0017921146953405018,0.0017921146953405018,0.0,0.0,0.0,0.0,0.07575757563003775,0.4259259252088789,0.04713804705869016,0.06228956218469771,0.0,0.13973063949540296,0.1279461277307304,0.08080808067204028,0.0,0.0,0.0,0.04040404033602014
288,319,,,37,1.0546618,4.556111632850705,0.0,6.638667472228877,0.8916942974715363,388.5166015625,4.353261352457536,0.6881537618387368,0.6664790811156444,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.6496,0.224,0.0816,0.0128,0.0176,0.008,0.0032,0.0032,0.0,0.0,0.0,0.0,0.24320241655105376,0.32326283939084166,0.09667673701408348,0.08006042283978788,0.0,0.05891238661795712,0.10120845906161864,0.060422960633802175,0.02416918425352087,0.0,0.0,0.012084592126760435
304,335,,,45,1.3493503,4.272735071901141,0.0,8.231642924146065,0.933740347740154,442.9950256347656,4.504084676026459,0.6940079907733766,0.674737754012964,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8395604395604396,0.12637362637362637,0.02197802197802198,0.006593406593406593,0.002197802197802198,0.0,0.001098901098901099,0.002197802197802198,0.0,0.0,0.0,0.015706806266275596,0.3057591619834983,0.24293193691839587,0.1455497380674872,0.1298429318012116,0.0,0.027225130861544367,0.043979057545571666,0.055497382140840434,0.033507853368054605,0.0,0.0,0.0
