start_proc_frame,end_proc_frame,start_orig_frame,end_orig_frame,crowd_count,occupancy,mean_speed,median_speed,speed_std,dir_entropy,mean_pairwise_distance,risk_raw,risk_score,risk_ema,act_p_Normal,act_p_Light_Panic,act_p_Fight,act_p_Violent_Group,act_p_Stampede,act_entropy,act_top_prob,act_top2_gap,act_abnormal_prob,vel_hist_0,vel_hist_1,vel_hist_2,vel_hist_3,vel_hist_4,vel_hist_5,vel_hist_6,vel_hist_7,density_0,density_1,density_2,density_3,density_4,density_5,density_6,density_7,density_8,density_9,density_10,density_11,density_12,density_13,density_14,density_15
0,31,,,21,0.15403423,0.4654308640958201,0.0,2.8151108011698134,0.7602535748838675,104.95726013183594,1.4496767139812197,0.5655155370254529,0.5655155370254529,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.961038961038961,0.017316017316017316,0.008658008658008658,0.0,0.0,0.008658008658008658,0.0,0.004329004329004329,0.0,0.0,0.0,0.0,0.0,0.13888888833774252,0.5873015849710255,0.0,0.0,0.15476190414777022,0.11904761857520786,0.0,0.0,0.0,0.0,0.0
16,47,,,27,0.17040531,0.5382782140316877,0.0,2.69175936723468,0.9360862938864829,122.45864868164062,1.6067402611328205,0.5725186361257334,0.567616466755537,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9521072796934866,0.011494252873563218,0.019157088122605363,0.007662835249042145,0.0038314176245210726,0.0019157088122605363,0.0,0.0038314176245210726,0.0,0.0,0.0,0.0,0.0,0.23132968992471822,0.33879781359053224,0.0,0.0,0.2131147537101735,0.21675774095308245,0.0,0.0,0.0,0.0,0.0
32,63,,,38,0.1851682,0.9621705636893201,0.0,4.037728454829448,0.9681976117726809,130.19151306152344,2.0343665864133613,0.5914311499481132,0.5747608717133098,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9338028169014084,0.016901408450704224,0.018309859154929577,0.011267605633802818,0.011267605633802818,0.0028169014084507044,0.0028169014084507044,0.0028169014084507044,0.0,0.0,0.0,0.0,0.0,0.2820855611202065,0.19786096230232492,0.0,0.0,0.19385026712052103,0.3262032081200492,0.0,0.0,0.0,0.0,0.0
48,79,,,41,0.15245447,1.100887255963069,0.0,4.911983288038786,0.973480408576795,120.68621063232422,2.1423768605976834,0.5961678817703451,0.5811829747304204,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.94141689373297,0.01634877384196185,0.010899182561307902,0.01634877384196185,0.004087193460490463,0.006811989100817439,0.0027247956403269754,0.0013623978201634877,0.0,0.0,0.0,0.0,0.0,0.22580645132154006,0.2012903223209157,0.0,0.0,0.23354838679542145,0.3393548382718002,0.0,0.0,0.0,0.0,0.0
64,95,,,36,0.18131177,1.116183805502819,0.0,4.9340922244573315,0.9802654581825103,137.14662170410156,2.2280260830882987,0.5999113271319151,0.5868014804508688,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9414348462664714,0.016105417276720352,0.01171303074670571,0.016105417276720352,0.005856515373352855,0.004392386530014641,0.0029282576866764276,0.0014641288433382138,0.0,0.0,0.0,0.0,0.0,0.17385257277628294,0.2127955490781703,0.0,0.0,0.3421418632237248,0.2712100135310014,0.0,0.0,0.0,0.0,0.0
80,111,,,42,0.6430628,1.3224469287003624,0.0,6.523309026144645,0.9428136858061462,154.14599609375,3.0731633368855293,0.6361648784494902,0.6016104998504552,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9551192145862553,0.02244039270687237,0.014025245441795231,0.005610098176718092,0.0,0.0,0.001402524544179523,0.001402524544179523,0.0,0.0,0.0,0.0,0.0,0.25960264866277794,0.14437086073593264,0.0,0.0,0.35496688694706374,0.24105960232972237,0.0,0.0,0.0,0.0,0.0
96,127,,,42,0.8077437,1.0834744083723549,0.0,7.009837225249814,0.8197264461929369,138.42202758789062,2.9767012148521763,0.6320958037100549,0.6107560910083352,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9697732997481109,0.008816120906801008,0.008816120906801008,0.005037783375314861,0.0025188916876574307,0.0012594458438287153,0.0025188916876574307,0.0012594458438287153,0.0,0.0,0.0,0.0,0.0,0.3217703345433369,0.16267942564272797,0.0,0.0,0.3002392340906229,0.21531100452713994,0.0,0.0,0.0,0.0,0.0
112,143,,,36,0.7245591,1.6011252467686585,0.0,8.237830388856539,0.9255192547329308,135.47952270507812,3.4314362098757027,0.651104452643798,0.622860599498974,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.950965824665676,0.022288261515601784,0.010401188707280832,0.005943536404160475,0.004457652303120356,0.0,0.0029717682020802376,0.0029717682020802376,0.0,0.0,0.0,0.0,0.0,0.2651621999080928,0.20592383609883802,0.0,0.0,0.2990126935133813,0.22990126906925068,0.0,0.0,0.0,0.0,0.0
128,159,,,33,0.7025058,3.100813128691389,0.0,11.602075848546745,0.9802654581825103,148.1965789794922,4.568795903668073,0.6965008416572087,0.6449526721464444,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.921161825726141,0.022821576763485476,0.014522821576763486,0.014522821576763486,0.008298755186721992,0.01037344398340249,0.004149377593360996,0.004149377593360996,0.0,0.0,0.0,0.0,0.0,0.12038834928079932,0.15728155309265718,0.0,0.0,0.3475728148590819,0.374757280825714,0.0,0.0,0.0,0.0,0.0
144,175,,,25,0.78666556,2.703227152787444,0.0,10.926040806922227,0.9258434792615309,153.31765747070312,4.2757030697102305,0.6851196044776203,0.657002751845797,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9350912778904665,0.008113590263691683,0.016227180527383367,0.014198782961460446,0.012170385395537525,0.008113590263691683,0.004056795131845842,0.002028397565922921,0.0,0.0,0.0,0.0,0.0,0.0270270269748513,0.06949806936390335,0.0,0.0,0.3494208487462918,0.5347490337167007,0.0,0.0,0.015444015414200743,0.003861003853550186,0.0
