frame,proc_frame,track_id,x1,y1,x2,y2,cx,cy,score
0,0,1,309.96036,849.90936,449.3947,1079.1301,379.67755,964.5198,0.7897933721542358
0,0,2,290.56104,529.0704,396.86484,847.88043,343.71295,688.4754,0.6552712917327881
0,0,3,461.4182,902.9968,578.40576,1079.1245,519.912,991.06067,0.6301359534263611
0,0,4,580.0902,587.58356,677.7839,890.5308,628.937,739.0572,0.4828939735889435
0,0,5,836.88196,827.34296,939.8115,1079.3995,888.34674,953.3712,0.4658503234386444
0,0,6,258.497,348.02893,337.27344,623.39386,297.88522,485.7114,0.46268630027770996
0,0,7,0.115646124,792.39355,99.19514,1079.7228,49.65539,936.05817,0.44990596175193787
0,0,8,404.28116,304.80087,451.79996,490.59338,428.04056,397.69714,0.4405211806297302
0,0,9,440.80872,325.84915,506.1777,554.80475,473.49323,440.32697,0.4352163076400757
0,0,10,540.0576,978.28955,658.8509,1079.4254,599.4542,1028.8574,0.42976871132850647
0,0,11,214.47093,232.20479,292.31448,440.03015,253.3927,336.11746,0.4150610566139221
0,0,12,634.3643,866.9838,760.0676,1079.3524,697.21594,973.1681,0.3701618015766144
2,1,1,304.7516,874.412,440.4925,1079.0721,372.62204,976.74207,0.8196757435798645
2,1,2,289.42975,542.96,404.30563,866.7886,346.86768,704.87427,0.6546965837478638
2,1,3,454.6074,910.0226,573.68646,1078.9711,514.1469,994.4968,0.7002025246620178
2,1,4,580.0902,587.58356,677.7839,890.5308,628.937,739.0572,0.4828939735889435
2,1,5,830.3698,837.61414,941.45636,1079.3662,885.9131,958.4902,0.5079863667488098
2,1,6,255.47487,348.2562,339.91772,623.8004,297.6963,486.02832,0.37852784991264343
2,1,7,0.115646124,792.39355,99.19514,1079.7228,49.65539,936.05817,0.44990596175193787
2,1,8,404.28116,304.80087,451.79996,490.59338,428.04056,397.69714,0.4405211806297302
2,1,9,436.37213,330.12576,505.44095,555.43536,470.90656,442.78058,0.5223191380500793
2,1,10,536.1141,988.8662,652.1685,1079.0369,594.1413,1033.9515,0.3643088638782501
2,1,11,212.76003,236.68198,288.04514,447.66415,250.40259,342.17307,0.4906119108200073
2,1,12,630.6148,877.44305,757.4607,1079.2109,694.0377,978.327,0.4379458725452423
2,1,13,812.0345,486.4461,906.7281,730.37933,859.3813,608.4127,0.38333722949028015
4,2,1,288.99698,894.0383,431.97238,1079.092,360.48468,986.5652,0.8001585602760315
4,2,2,287.62143,554.0562,400.44955,872.02795,344.0355,713.0421,0.6357536315917969
4,2,3,450.2203,920.5456,570.93097,1079.1226,510.57562,999.8341,0.6460542678833008
4,2,4,580.0902,587.58356,677.7839,890.5308,628.937,739.0572,0.4828939735889435
