frame,proc_frame,track_id,x1,y1,x2,y2,cx,cy,score
0,0,1,1056.6793,949.30963,1146.0969,1079.0942,1101.3882,1014.2019,0.717897891998291
0,0,2,639.8484,646.5925,707.1484,876.5757,673.4984,761.5841,0.6331727504730225
0,0,3,1140.6986,922.87555,1244.0255,1079.3755,1192.362,1001.1255,0.6141269207000732
0,0,4,721.7827,563.2638,785.3771,778.7523,753.5799,671.00806,0.5455881357192993
0,0,5,569.9165,630.0506,645.8216,889.7454,607.869,759.898,0.49720993638038635
0,0,6,754.68414,763.7592,827.78204,969.5139,791.2331,866.6366,0.45839637517929077
0,0,7,139.94908,534.4697,202.17719,744.8193,171.06314,639.64453,0.43855562806129456
0,0,8,820.60455,948.6459,893.68665,1079.3562,857.1456,1014.00104,0.41287538409233093
0,0,9,249.4375,562.5339,319.83752,697.81714,284.6375,630.17554,0.3570597767829895
2,1,1,1054.9537,953.375,1148.7913,1079.1316,1101.8726,1016.2533,0.709481954574585
2,1,2,637.88214,646.9865,704.1973,877.2603,671.03973,762.1234,0.6438206434249878
2,1,3,1143.224,921.7517,1243.5343,1079.2167,1193.3792,1000.4842,0.6174317598342896
2,1,4,722.0611,571.4431,784.81384,778.68713,753.4375,675.0651,0.47619742155075073
2,1,5,571.343,629.99756,648.4039,888.104,609.8734,759.0508,0.46859243512153625
2,1,6,758.092,768.70184,828.15283,964.53284,793.12244,866.6173,0.5340570211410522
2,1,7,141.84343,540.88947,201.55545,751.4564,171.69943,646.173,0.3971253037452698
2,1,8,818.9755,949.48584,891.63586,1079.4131,855.30566,1014.44946,0.4314265251159668
2,1,9,249.4375,562.5339,319.83752,697.81714,284.6375,630.17554,0.3570597767829895
2,1,10,262.2738,680.2075,348.24646,911.3288,305.26013,795.7682,0.7186882495880127
2,1,11,435.82727,714.51385,516.6716,1015.15967,476.24942,864.8368,0.5308730602264404
2,1,12,1178.2957,617.1756,1246.2046,823.7625,1212.2501,720.46906,0.5293756723403931
