frame,proc_frame,track_id,x1,y1,x2,y2,cx,cy,score
0,0,1,718.1039,252.56905,753.54456,346.5094,735.8242,299.5392,0.398468941450119
2,1,1,714.9858,259.93542,755.48047,351.64948,735.23315,305.79245,0.40793123841285706
4,2,1,714.9858,259.93542,755.48047,351.64948,735.23315,305.79245,0.40793123841285706
6,3,1,714.9858,259.93542,755.48047,351.64948,735.23315,305.79245,0.40793123841285706
8,4,1,714.9858,259.93542,755.48047,351.64948,735.23315,305.79245,0.40793123841285706
8,4,2,693.1394,257.17993,739.0426,359.46902,716.091,308.32446,0.5080212950706482
10,5,1,714.9858,259.93542,755.48047,351.64948,735.23315,305.79245,0.40793123841285706
10,5,2,693.1394,257.17993,739.0426,359.46902,716.091,308.32446,0.5080212950706482
12,6,1,714.9858,259.93542,755.48047,351.64948,735.23315,305.79245,0.40793123841285706
12,6,2,693.1394,257.17993,739.0426,359.46902,716.091,308.32446,0.5080212950706482
12,6,3,665.79193,266.81122,728.2831,357.6882,697.0375,312.2497,0.3693321943283081
14,7,1,714.9858,259.93542,755.48047,351.64948,735.23315,305.79245,0.40793123841285706
14,7,2,693.1394,257.17993,739.0426,359.46902,716.091,308.32446,0.5080212950706482
14,7,3,649.83765,261.15985,705.9187,361.14026,677.8782,311.15005,0.4777474105358124
16,8,1,714.9858,259.93542,755.48047,351.64948,735.23315,305.79245,0.40793123841285706
16,8,2,693.1394,257.17993,739.0426,359.46902,716.091,308.32446,0.5080212950706482
16,8,3,649.83765,261.15985,705.9187,361.14026,677.8782,311.15005,0.4777474105358124
16,8,4,633.0816,261.86047,681.1416,362.045,657.1116,311.95276,0.440249502658844
18,9,1,714.9858,259.93542,755.48047,351.64948,735.23315,305.79245,0.40793123841285706
18,9,2,693.1394,257.17993,739.0426,359.46902,716.091,308.32446,0.5080212950706482
18,9,3,649.83765,261.15985,705.9187,361.14026,677.8782,311.15005,0.4777474105358124
18,9,4,633.0816,261.86047,681.1416,362.045,657.1116,311.95276,0.440249502658844
20,10,1,714.9858,259.93542,755.48047,351.64948,735.23315,305.79245,0.40793123841285706
20,10,2,693.1394,257.17993,739.0426,359.46902,716.091,308.32446,0.5080212950706482
20,10,3,649.83765,261.15985,705.9187,361.14026,677.8782,311.15005,0.4777474105358124
20,10,4,633.0816,261.86047,681.1416,362.045,657.1116,311.95276,0.440249502658844
22,11,1,714.9858,259.93542,755.48047,351.64948,735.23315,305.79245,0.40793123841285706
22,11,2,693.1394,257.17993,739.0426,359.46902,716.091,308.32446,0.5080212950706482
22,11,3,649.83765,261.15985,705.9187,361.14026,677.8782,311.15005,0.4777474105358124
22,11,4,633.0816,261.86047,681.1416,362.045,657.1116,311.95276,0.440249502658844
24,12,1,714.9858,259.93542,755.48047,351.64948,735.23315,305.79245,0.40793123841285706
24,12,2,693.1394,257.17993,739.0426,359.46902,716.091,308.32446,0.5080212950706482
24,12,3,649.83765,261.15985,705.9187,361.14026,677.8782,311.15005,0.4777474105358124
24,12,4,633.0816,261.86047,681.1416,362.045,657.1116,311.95276,0.440249502658844
26,13,1,714.9858,259.93542,755.48047,351.64948,735.23315,305.79245,0.40793123841285706
26,13,2,693.1394,257.17993,739.0426,359.46902,716.091,308.32446,0.5080212950706482
26,13,3,649.83765,261.15985,705.9187,361.14026,677.8782,311.15005,0.4777474105358124
26,13,4,633.0816,261.86047,681.1416,362.045,657.1116,311.95276,0.440249502658844
28,14,1,714.9858,259.93542,755.48047,351.64948,735.23315,305.79245,0.40793123841285706
28,14,2,693.1394,257.17993,739.0426,359.46902,716.091,308.32446,0.5080212950706482
28,14,3,649.83765,261.15985,705.9187,361.14026,677.8782,311.15005,0.4777474105358124
28,14,4,633.0816,261.86047,681.1416,362.045,657.1116,311.95276,0.440249502658844
30,15,1,714.9858,259.93542,755.48047,351.64948,735.23315,305.79245,0.40793123841285706
30,15,2,693.1394,257.17993,739.0426,359.46902,716.091,308.32446,0.5080212950706482
30,15,3,649.83765,261.15985,705.9187,361.14026,677.8782,311.15005,0.4777474105358124
30,15,4,633.0816,261.86047,681.1416,362.045,657.1116,311.95276,0.440249502658844
30,15,5,564.002,285.53543,601.38367,385.18646,582.6929,335.36096,0.39249134063720703
32,16,1,714.9858,259.93542,755.48047,351.64948,735.23315,305.79245,0.40793123841285706
32,16,2,693.1394,257.17993,739.0426,359.46902,716.091,308.32446,0.5080212950706482
32,16,3,649.83765,261.15985,705.9187,361.14026,677.8782,311.15005,0.4777474105358124
32,16,4,633.0816,261.86047,681.1416,362.045,657.1116,311.95276,0.440249502658844
32,16,5,570.35944,286.49817,606.1237,390.68558,588.2416,338.59186,0.36462530493736267
34,17,1,714.9858,259.93542,755.48047,351.64948,735.23315,305.79245,0.40793123841285706
34,17,2,693.1394,257.17993,739.0426,359.46902,716.091,308.32446,0.5080212950706482
34,17,3,649.83765,261.15985,705.9187,361.14026,677.8782,311.15005,0.4777474105358124
34,17,4,633.0816,261.86047,681.1416,362.045,657.1116,311.95276,0.440249502658844
34,17,5,570.35944,286.49817,606.1237,390.68558,588.2416,338.59186,0.36462530493736267
36,18,1,714.9858,259.93542,755.48047,351.64948,735.23315,305.79245,0.40793123841285706
36,18,2,693.1394,257.17993,739.0426,359.46902,716.091,308.32446,0.5080212950706482
36,18,3,649.83765,261.15985,705.9187,361.14026,677.8782,311.15005,0.4777474105358124
36,18,4,633.0816,261.86047,681.1416,362.045,657.1116,311.95276,0.440249502658844
36,18,5,570.35944,286.49817,606.1237,390.68558,588.2416,338.59186,0.36462530493736267
38,19,1,714.9858,259.93542,755.48047,351.64948,735.23315,305.79245,0.40793123841285706
38,19,2,693.1394,257.17993,739.0426,359.46902,716.091,308.32446,0.5080212950706482
38,19,3,649.83765,261.15985,705.9187,361.14026,677.8782,311.15005,0.4777474105358124
38,19,4,633.0816,261.86047,681.1416,362.045,657.1116,311.95276,0.440249502658844
38,19,5,570.35944,286.49817,606.1237,390.68558,588.2416,338.59186,0.36462530493736267
38,19,6,508.00766,288.6384,583.5438,441.46918,545.77576,365.05377,0.5640304684638977
40,20,1,714.9858,259.93542,755.48047,351.64948,735.23315,305.79245,0.40793123841285706
40,20,2,693.1394,257.17993,739.0426,359.46902,716.091,308.32446,0.5080212950706482
40,20,3,649.83765,261.15985,705.9187,361.14026,677.8782,311.15005,0.4777474105358124
40,20,4,633.0816,261.86047,681.1416,362.045,657.1116,311.95276,0.440249502658844
40,20,5,570.35944,286.49817,606.1237,390.68558,588.2416,338.59186,0.36462530493736267
40,20,6,496.49487,287.27316,580.7647,452.54126,538.62976,369.90723,0.7323799133300781
40,20,7,618.5141,286.21103,698.4036,442.9366,658.45886,364.57382,0.7044250965118408
42,21,1,714.9858,259.93542,755.48047,351.64948,735.23315,305.79245,0.40793123841285706
42,21,2,693.1394,257.17993,739.0426,359.46902,716.091,308.32446,0.5080212950706482
42,21,3,649.83765,261.15985,705.9187,361.14026,677.8782,311.15005,0.4777474105358124
42,21,4,633.0816,261.86047,681.1416,362.045,657.1116,311.95276,0.440249502658844
42,21,5,570.35944,286.49817,606.1237,390.68558,588.2416,338.59186,0.36462530493736267
42,21,6,496.49487,287.27316,580.7647,452.54126,538.62976,369.90723,0.7323799133300781
42,21,7,589.69666,292.01382,674.4403,456.90616,632.0685,374.46,0.7718119621276855
42,21,8,704.15234,297.36978,803.6316,451.41302,753.89197,374.39142,0.8126920461654663
44,22,1,714.9858,259.93542,755.48047,351.64948,735.23315,305.79245,0.40793123841285706
44,22,2,693.1394,257.17993,739.0426,359.46902,716.091,308.32446,0.5080212950706482
44,22,3,649.83765,261.15985,705.9187,361.14026,677.8782,311.15005,0.4777474105358124
44,22,4,633.0816,261.86047,681.1416,362.045,657.1116,311.95276,0.440249502658844
44,22,5,570.35944,286.49817,606.1237,390.68558,588.2416,338.59186,0.36462530493736267
44,22,6,496.49487,287.27316,580.7647,452.54126,538.62976,369.90723,0.7323799133300781
44,22,7,589.69666,292.01382,674.4403,456.90616,632.0685,374.46,0.7718119621276855
44,22,8,704.15234,297.36978,803.6316,451.41302,753.89197,374.39142,0.8126920461654663
44,22,9,633.1877,293.67966,746.09436,476.52832,689.641,385.104,0.8366223573684692
44,22,10,635.0823,294.78384,673.2786,404.70312,654.1804,349.74347,0.42821645736694336
46,23,1,714.9858,259.93542,755.48047,351.64948,735.23315,305.79245,0.40793123841285706
46,23,2,693.1394,257.17993,739.0426,359.46902,716.091,308.32446,0.5080212950706482
46,23,3,649.83765,261.15985,705.9187,361.14026,677.8782,311.15005,0.4777474105358124
46,23,4,633.0816,261.86047,681.1416,362.045,657.1116,311.95276,0.440249502658844
46,23,5,570.35944,286.49817,606.1237,390.68558,588.2416,338.59186,0.36462530493736267
46,23,6,496.49487,287.27316,580.7647,452.54126,538.62976,369.90723,0.7323799133300781
46,23,7,589.69666,292.01382,674.4403,456.90616,632.0685,374.46,0.7718119621276855
46,23,8,691.87115,288.26196,817.4983,502.73718,754.6847,395.49957,0.7433173060417175
46,23,9,633.1877,293.67966,746.09436,476.52832,689.641,385.104,0.8366223573684692
46,23,10,635.0823,294.78384,673.2786,404.70312,654.1804,349.74347,0.42821645736694336
46,23,11,677.9477,298.72772,718.2376,412.4266,698.09265,355.57715,0.5968151688575745
48,24,1,714.9858,259.93542,755.48047,351.64948,735.23315,305.79245,0.40793123841285706
48,24,2,693.1394,257.17993,739.0426,359.46902,716.091,308.32446,0.5080212950706482
48,24,3,649.83765,261.15985,705.9187,361.14026,677.8782,311.15005,0.4777474105358124
48,24,4,633.0816,261.86047,681.1416,362.045,657.1116,311.95276,0.440249502658844
48,24,5,570.35944,286.49817,606.1237,390.68558,588.2416,338.59186,0.36462530493736267
48,24,6,496.49487,287.27316,580.7647,452.54126,538.62976,369.90723,0.7323799133300781
48,24,7,589.69666,292.01382,674.4403,456.90616,632.0685,374.46,0.7718119621276855
