start_proc_frame,end_proc_frame,crowd_count,occupancy,mean_speed,median_speed,speed_std,dir_entropy,mean_pairwise_distance,risk_raw,risk_score,risk_ema,act_p_Normal,act_p_Light_Panic,act_p_Fight,act_p_Violent_Group,act_p_Stampede,act_entropy,act_top_prob,act_top2_gap,act_abnormal_prob,vel_hist_0,vel_hist_1,vel_hist_2,vel_hist_3,vel_hist_4,vel_hist_5,vel_hist_6,vel_hist_7,density_0,density_1,density_2,density_3,density_4,density_5,density_6,density_7,density_8,density_9,density_10,density_11,density_12,density_13,density_14,density_15,pred_prob,pred_alert_raw,pred_alert,alert_tier
0,31,31,0.25096023,2.3173909816326526,0.869631683937971,4.129993460914218,0.7826620783625946,510.1871337890625,2.6434533180040547,0.6178961275783263,0.6178961275783263,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8513157894736842,0.10921052631578948,0.017105263157894738,0.006578947368421052,0.005263157894736842,0.003947368421052632,0.002631578947368421,0.003947368421052632,0.0,0.0,0.0,0.0,0.0,0.06068268007499029,0.13021491766091667,0.0,0.13274336266404127,0.12010113764841829,0.04045512004999353,0.04045512004999353,0.13653603016872815,0.14285714267653965,0.08091024009998705,0.1150442476421691,0.5039992928504944,0,0,0
16,47,35,0.22837488,1.8614844534034047,0.0,3.627108767302272,0.7416996668452,505.50921630859375,2.304617130598579,0.6032490310036887,0.613501998605935,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8668197474167624,0.09414466130884042,0.02066590126291619,0.008036739380022962,0.002296211251435132,0.003444316877152698,0.0,0.004592422502870264,0.0,0.0,0.0,0.0,0.002207505516327257,0.023178807921436194,0.14128035304494443,0.0,0.13355408373779903,0.16997792475719875,0.03532008826123611,0.03532008826123611,0.1600441499337261,0.14679911683576258,0.05960264894083593,0.09271523168574478,0.5105381608009338,0,0,0
32,63,43,0.25030985,1.9103330173130733,0.0,3.3393593135756525,0.7350422076908262,489.0942687988281,2.331837058564906,0.6044329341175061,0.6107812792594063,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8278145695364238,0.13245033112582782,0.026490066225165563,0.005518763796909493,0.0011037527593818985,0.0,0.002207505518763797,0.004415011037527594,0.0,0.0,0.0,0.0,0.018967334015840533,0.007376185450604652,0.10432033708712293,0.0,0.11801896720967443,0.20126448872364122,0.04952581659691695,0.020021074794498342,0.20337197028095683,0.16859852458524918,0.040042149588996684,0.06849315061275749,0.5235863327980042,0,0,0
48,79,43,0.291819,2.1962030351160013,0.0,3.9613849099504064,0.7714329709017642,476.6832580566406,2.665096169317433,0.6188247661185241,0.6131943253171416,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9002169197396963,0.08026030368763558,0.009761388286334056,0.0032537960954446853,0.0032537960954446853,0.0010845986984815619,0.0010845986984815619,0.0010845986984815619,0.0,0.0,0.0,0.0,0.041450777159118365,0.018652849721603266,0.05284974087787592,0.0,0.11606217604553143,0.18134715007114285,0.07461139888641306,0.0031088082869338775,0.2176165800853714,0.18549222778705468,0.03316062172729469,0.07564766831539102,0.5244334936141968,0,0,0
64,95,39,0.2599906,2.2103193270383086,0.0,4.140477174995115,0.7901198919164122,470.511962890625,2.6292477394188287,0.6172861341251943,0.6144218679595573,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.9117647058823529,0.06100217864923747,0.014161220043572984,0.007625272331154684,0.0,0.0032679738562091504,0.0010893246187363835,0.0010893246187363835,0.0,0.0,0.0,0.0,0.07941483795254457,0.03343782650633456,0.02298850572310501,0.0,0.138975966416953,0.1483803551218596,0.08150470210919049,0.0,0.19017763825477782,0.17345872500161053,0.03552769066298047,0.09613375120571185,0.5190790295600891,0,0,0
80,111,42,0.20783673,2.251074408125833,0.5232300169221001,3.730874672134088,0.7900190952512017,499.10833740234375,2.4536641919368987,0.6097165155277563,0.613010262230017,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8312570781426953,0.13816534541336353,0.014722536806342015,0.006795016987542469,0.004530011325028313,0.0,0.0033975084937712344,0.0011325028312570782,0.0,0.0,0.0,0.0,0.11135135123097151,0.03891891887684441,0.01837837835850986,0.0,0.1621621619868517,0.14810810794799123,0.07999999991351352,0.0,0.1762162160257122,0.1427027025484295,0.03675675671701972,0.08540540531307524,0.5207169651985168,0,0,0
96,127,41,0.21690995,2.1379630953392947,0.0,3.9495534738329985,0.7946580833008267,482.3571472167969,2.4666878548811297,0.6102798490201319,0.6121911382670514,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8473625140291807,0.12008978675645342,0.012345679012345678,0.008978675645342313,0.006734006734006734,0.0,0.001122334455667789,0.003367003367003367,0.0,0.0,0.0,0.0,0.10622317585169187,0.04613733900629041,0.02896995705046142,0.0,0.15557939897470022,0.1802575105362044,0.0912017166403415,0.0,0.17811158779172576,0.12875536466871743,0.034334763911657976,0.05042918449524766,0.5210421085357666,0,0,0
112,143,40,0.21831585,1.7810778240878375,0.0,3.7126178701072,0.7959140544372643,480.1323547363281,2.2926619049951498,0.6027286672663335,0.609352396966836,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8688699360341151,0.09275053304904052,0.017057569296375266,0.009594882729211088,0.005330490405117271,0.0042643923240938165,0.0,0.0021321961620469083,0.0,0.0,0.0,0.0,0.0950920244426462,0.07259713694008472,0.024539877275521597,0.0,0.11758691194520765,0.18711656422585218,0.13087934546944852,0.0,0.16155419206385052,0.14519427388016945,0.03271983636736213,0.03271983636736213,0.5200178623199463,0,0,0
128,159,48,0.24361953,1.69481613952292,0.0,3.4535416894671784,0.7887276060673079,409.1763916015625,2.2782432008190066,0.6021007689116213,0.6071769085502715,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.8340471092077087,0.11134903640256959,0.02569593147751606,0.014989293361884369,0.0032119914346895075,0.007494646680942184,0.0,0.0032119914346895075,0.0,0.0,0.0,0.0,0.078411405215467,0.08553971478050945,0.015274949067948117,0.0,0.1048879835999104,0.19450101813187268,0.17617107925033496,0.0,0.1446028511765755,0.13645621167366984,0.03258655801162265,0.03156822807375944,0.5411728620529175,1,0,1
144,175,42,0.24112692,1.9251583252348794,0.0,4.162834179594962,0.7779895903313181,456.83795166015625,2.4640995783884017,0.6101679174999791,0.6080742112351838,1.0,0.0,0.0,0.0,0.0,-0.0,1.0,1.0,0.0,0.883442265795207,0.07516339869281045,0.020697167755991286,0.007625272331154684,0.006535947712418301,0.002178649237472767,0.002178649237472767,0.002178649237472767,0.0,0.0,0.0,0.0,0.05520833327582465,0.08749999990885417,0.023958333308376736,0.0,0.10312499989257813,0.21354166644422742,0.23020833309353297,0.0,0.12708333320095486,0.1104166665516493,0.03333333329861111,0.015624999983723959,0.525364875793457,0,0,0
